CEP ID,ORCATECH HomeID,PPC location ID,Device Name_Description,Installed,Removed,Platform,Manufacturer,Sensor Type,Physical Device ID,Digital Device ID,Rooms from Homes Checklist,Suggested Standard Room Name,Other Area name (doors for example),Room View (motion/light only),Attached to (door/vibration/power),FunctionUse(s),Door type 1,Door type 2,Medbox,microwave,Primary Category,Secondary Category,Room Subcategory
AH,1614,592551,MP Microwave Smart Cable,7/19/2022,,People Power,Develco,"smartcable, temp",0015 BC00 3700 1F12,0015 BC00 3700 1F12,Kitchen,loc-kitchen_1,,,on-microwave,use-cooking,,,,,Appliance Monitoring,Cooking Appliance,Kitchen Area
AH,1614,592551,Kids Bedroom Extension Cable,12/5/2023,,People Power,Develco,"smartcable, temp",0015 BC00 3700 1FA6,0015 BC00 3700 1FA6,Kids Bedroom,loc-bedroom_2,,,,use-range_extender,,,,,Other,General Sensor,Bedroom Area
AH,1614,592551,Living Room Smart Cable,4/25/2024,,People Power,Develco,"smartcable, temp",0015 BC00 3700 1E6F,0015 BC00 3700 1E6F,Living Room,loc-living_rm_1,,,on-tv,use-living,,,,,Other,General Sensor,Living Room Area
AH,1614,592551,MP Kitchen Motion,7/19/2022,,People Power,Develco,"motion, temp, light",0015 BC00 1A01 13BD,0015 BC00 1A01 13BD,Kitchen,loc-kitchen_1,,,,use-cooking,,,,,Motion Detection,Motion Sensor,Kitchen Area
AH,1614,592551,DKitchen Sink Motion old,2/16/2024,2/20/2023,People Power,Develco,"motion, temp, light",0015 BC00 1A02 0BD0,0015 BC00 1A02 0BD0,Kitchen,loc-kitchen_1,,,,use-sink,,,,,Motion Detection,Motion Sensor,Kitchen Area
AH,1614,592551,DKitchen Sink Motion,2/20/2024,,People Power,Develco,"motion, temp, light",0015 BC00 1A01 15F7,0015 BC00 1A01 15F7,Kitchen,loc-kitchen_1,,,,use-sink,,,,,Motion Detection,Motion Sensor,Kitchen Area
AH,1614,592551,DKitchen Stove Motion,2/16/2024,,People Power,Develco,"motion, temp, light",0015 BC00 1A02 1080,0015 BC00 1A02 1080,Kitchen,loc-kitchen_1,,,,use-cooking,,,,,Motion Detection,Motion Sensor,Kitchen Area
AH,1614,592551,MP Dining Room Motion,7/19/2022,,People Power,Develco,"motion, temp, light",0015 BC00 1A02 0650,0015 BC00 1A02 0650,Dining Room,loc-dining_rm_1,,"sees-living_rm_1, sees-back_door",,"use-dining, use-working",,,,,Motion Detection,Motion Sensor,Other Area
AH,1614,592551,DEnd Hallyway Motion,8/31/2022,,People Power,Develco,"motion, temp, light",0015 BC00 1A02 06C0,0015 BC00 1A02 06C0,Hallway Bathroom,loc-hallway_1,,,,use-bedroom_exit,,,,,Motion Detection,Motion Sensor,Other Area
AH,1614,592551,DKids Bedroom Motion,8/31/2022,2/16/2024,People Power,Develco,"motion, temp, light",0015 BC00 1A02 0DF5,0015 BC00 1A02 0DF5,Kids Bedroom,loc-bedroom_2,,,,use-sleeping,,,,,Motion Detection,Motion Sensor,Bedroom Area
